operation,locality,home_region,run,latency_ms
read,local,cr-sj,1,1.934
read,local,cr-sj,2,0.764
read,local,cr-sj,3,0.739
read,local,cr-sj,4,0.775
read,local,cr-sj,5,0.716
read,local,cr-sj,6,0.682
read,local,cr-sj,7,0.653
read,local,cr-sj,8,0.762
read,local,cr-sj,9,0.680
read,local,cr-sj,10,0.748
read,local,cr-sj,11,0.752
read,local,cr-sj,12,0.718
read,local,cr-sj,13,0.642
read,local,cr-sj,14,0.640
read,local,cr-sj,15,0.616
read,local,cr-sj,16,0.608
read,local,cr-sj,17,0.656
read,local,cr-sj,18,0.614
read,local,cr-sj,19,0.666
read,local,cr-sj,20,0.629
read,local,cr-sj,21,0.683
read,local,cr-sj,22,0.664
read,local,cr-sj,23,0.621
read,local,cr-sj,24,0.704
read,local,cr-sj,25,0.673
read,local,cr-sj,26,0.683
read,local,cr-sj,27,0.697
read,local,cr-sj,28,0.690
read,local,cr-sj,29,0.753
read,local,cr-sj,30,0.806
read,local,cr-sj,31,0.851
read,local,cr-sj,32,0.807
read,local,cr-sj,33,0.692
read,local,cr-sj,34,0.744
read,local,cr-sj,35,0.635
read,local,cr-sj,36,0.646
read,local,cr-sj,37,0.755
read,local,cr-sj,38,0.636
read,local,cr-sj,39,0.640
read,local,cr-sj,40,0.723
read,local,cr-sj,41,0.682
read,local,cr-sj,42,0.677
read,local,cr-sj,43,0.659
read,local,cr-sj,44,0.747
read,local,cr-sj,45,0.641
read,local,cr-sj,46,0.734
read,local,cr-sj,47,0.689
read,local,cr-sj,48,0.722
read,local,cr-sj,49,0.739
read,local,cr-sj,50,0.708
read,remote,cr-limon,1,1.367
read,remote,cr-limon,2,1.238
read,remote,cr-limon,3,1.279
read,remote,cr-limon,4,1.309
read,remote,cr-limon,5,1.382
read,remote,cr-limon,6,1.264
read,remote,cr-limon,7,1.373
read,remote,cr-limon,8,1.314
read,remote,cr-limon,9,1.289
read,remote,cr-limon,10,1.148
read,remote,cr-limon,11,1.188
read,remote,cr-limon,12,1.197
read,remote,cr-limon,13,1.466
read,remote,cr-limon,14,1.293
read,remote,cr-limon,15,1.238
read,remote,cr-limon,16,1.666
read,remote,cr-limon,17,1.637
read,remote,cr-limon,18,1.534
read,remote,cr-limon,19,1.470
read,remote,cr-limon,20,1.411
read,remote,cr-limon,21,1.555
read,remote,cr-limon,22,1.698
read,remote,cr-limon,23,1.610
read,remote,cr-limon,24,1.458
read,remote,cr-limon,25,1.405
read,remote,cr-limon,26,1.464
read,remote,cr-limon,27,1.459
read,remote,cr-limon,28,1.521
read,remote,cr-limon,29,1.440
read,remote,cr-limon,30,1.638
read,remote,cr-limon,31,1.499
read,remote,cr-limon,32,1.689
read,remote,cr-limon,33,1.519
read,remote,cr-limon,34,1.516
read,remote,cr-limon,35,1.603
read,remote,cr-limon,36,1.501
read,remote,cr-limon,37,1.556
read,remote,cr-limon,38,1.638
read,remote,cr-limon,39,1.371
read,remote,cr-limon,40,1.533
read,remote,cr-limon,41,1.460
read,remote,cr-limon,42,1.507
read,remote,cr-limon,43,1.662
read,remote,cr-limon,44,1.606
read,remote,cr-limon,45,1.427
read,remote,cr-limon,46,1.428
read,remote,cr-limon,47,1.309
read,remote,cr-limon,48,1.515
read,remote,cr-limon,49,1.326
read,remote,cr-limon,50,1.220
write,local,cr-sj,1,6.708
write,local,cr-sj,2,6.168
write,local,cr-sj,3,7.037
write,local,cr-sj,4,4.691
write,local,cr-sj,5,7.288
write,local,cr-sj,6,4.685
write,local,cr-sj,7,6.633
write,local,cr-sj,8,7.005
write,local,cr-sj,9,7.783
write,local,cr-sj,10,8.717
write,local,cr-sj,11,11.029
write,local,cr-sj,12,8.271
write,local,cr-sj,13,7.418
write,local,cr-sj,14,7.315
write,local,cr-sj,15,5.010
write,local,cr-sj,16,7.942
write,local,cr-sj,17,6.089
write,local,cr-sj,18,7.718
write,local,cr-sj,19,4.780
write,local,cr-sj,20,7.070
write,local,cr-sj,21,8.081
