intento,inicio_utc,inicio_epoch,fin_epoch,estado,folio,latencia_ms,error
1,2026-09-19T03:01:22.050+00:00,1789786882.050538,1789786882.066890,ok,2,16.312,
2,2026-09-19T03:01:22.250+00:00,1789786882.250610,1789786882.256833,ok,3,6.190,
3,2026-09-19T03:01:22.450+00:00,1789786882.450691,1789786882.458889,ok,4,8.165,
4,2026-09-19T03:01:22.650+00:00,1789786882.650759,1789786882.659135,ok,5,8.350,
5,2026-09-19T03:01:22.850+00:00,1789786882.850857,1789786882.858950,ok,6,8.067,
6,2026-09-19T03:01:23.050+00:00,1789786883.050979,1789786883.059860,ok,7,8.853,
7,2026-09-19T03:01:23.251+00:00,1789786883.251088,1789786883.259351,ok,8,8.235,
8,2026-09-19T03:01:23.451+00:00,1789786883.451158,1789786883.459131,ok,9,7.944,
9,2026-09-19T03:01:23.651+00:00,1789786883.651257,1789786883.656810,ok,10,5.524,
10,2026-09-19T03:01:23.851+00:00,1789786883.851341,1789786883.859887,ok,11,8.517,
11,2026-09-19T03:01:24.051+00:00,1789786884.051463,1789786884.059333,ok,12,7.842,
12,2026-09-19T03:01:24.251+00:00,1789786884.251546,1789786884.259639,ok,13,8.061,
13,2026-09-19T03:01:24.451+00:00,1789786884.451623,1789786884.457526,ok,14,5.875,
14,2026-09-19T03:01:24.651+00:00,1789786884.651707,1789786884.657318,ok,15,5.581,
15,2026-09-19T03:01:24.851+00:00,1789786884.851816,1789786884.859762,ok,16,7.915,
16,2026-09-19T03:01:25.051+00:00,1789786885.051887,1789786885.057864,ok,17,5.948,
17,2026-09-19T03:01:25.252+00:00,1789786885.252006,1789786885.265079,ok,18,13.027,
18,2026-09-19T03:01:25.452+00:00,1789786885.452080,1789786885.460164,ok,19,8.053,
19,2026-09-19T03:01:25.652+00:00,1789786885.652149,1789786885.657640,ok,20,5.458,
20,2026-09-19T03:01:25.852+00:00,1789786885.852219,1789786885.860298,ok,21,8.049,
21,2026-09-19T03:01:26.052+00:00,1789786886.052289,1789786886.060235,ok,22,7.918,
22,2026-09-19T03:01:26.252+00:00,1789786886.252396,1789786886.260526,ok,23,8.100,
23,2026-09-19T03:01:26.452+00:00,1789786886.452467,1789786886.460670,ok,24,8.173,
24,2026-09-19T03:01:26.652+00:00,1789786886.652539,1789786886.659109,ok,25,6.522,
25,2026-09-19T03:01:26.852+00:00,1789786886.852607,1789786886.860574,ok,26,7.934,
26,2026-09-19T03:01:27.052+00:00,1789786887.052680,1789786887.060652,ok,27,7.947,
27,2026-09-19T03:01:27.252+00:00,1789786887.252790,1789786887.260657,ok,28,7.835,
28,2026-09-19T03:01:27.452+00:00,1789786887.452861,1789786887.460714,ok,29,7.822,
29,2026-09-19T03:01:27.652+00:00,1789786887.652947,1789786889.656410,error,,2003.418,QueryCanceled: query execution canceled due to statement timeout
30,2026-09-19T03:01:29.656+00:00,1789786889.656704,1789786891.659488,error,,2002.752,QueryCanceled: query execution canceled due to statement timeout
31,2026-09-19T03:01:31.659+00:00,1789786891.659788,1789786892.417700,ok,30,757.877,
32,2026-09-19T03:01:32.418+00:00,1789786892.418255,1789786892.423953,ok,31,5.665,
33,2026-09-19T03:01:32.618+00:00,1789786892.618377,1789786892.625816,ok,32,7.377,
34,2026-09-19T03:01:32.818+00:00,1789786892.818440,1789786892.825522,ok,33,7.046,
35,2026-09-19T03:01:33.018+00:00,1789786893.018508,1789786893.026457,ok,34,7.910,
36,2026-09-19T03:01:33.218+00:00,1789786893.218591,1789786893.225991,ok,35,7.374,
37,2026-09-19T03:01:33.418+00:00,1789786893.418664,1789786893.425696,ok,36,6.995,
38,2026-09-19T03:01:33.618+00:00,1789786893.618785,1789786893.625998,ok,37,7.187,
39,2026-09-19T03:01:33.818+00:00,1789786893.818892,1789786893.826480,ok,38,7.546,
40,2026-09-19T03:01:34.019+00:00,1789786894.019012,1789786894.026059,ok,39,7.012,
41,2026-09-19T03:01:34.219+00:00,1789786894.219126,1789786894.226431,ok,40,7.264,
42,2026-09-19T03:01:34.419+00:00,1789786894.419192,1789786894.425064,ok,41,5.839,
43,2026-09-19T03:01:34.619+00:00,1789786894.619259,1789786894.626096,ok,42,6.805,
44,2026-09-19T03:01:34.819+00:00,1789786894.819366,1789786894.826657,ok,43,7.261,
45,2026-09-19T03:01:35.019+00:00,1789786895.019459,1789786895.026751,ok,44,7.257,
46,2026-09-19T03:01:35.219+00:00,1789786895.219488,1789786895.232764,ok,45,13.246,
47,2026-09-19T03:01:35.419+00:00,1789786895.419564,1789786895.427027,ok,46,7.438,
48,2026-09-19T03:01:35.619+00:00,1789786895.619664,1789786895.626786,ok,47,7.087,
49,2026-09-19T03:01:35.819+00:00,1789786895.819733,1789786895.826727,ok,48,6.934,
50,2026-09-19T03:01:36.019+00:00,1789786896.019805,1789786896.027130,ok,49,7.270,
51,2026-09-19T03:01:36.219+00:00,1789786896.219941,1789786896.227268,ok,50,7.298,
52,2026-09-19T03:01:36.420+00:00,1789786896.420047,1789786896.427529,ok,51,7.452,
53,2026-09-19T03:01:36.620+00:00,1789786896.620116,1789786896.627237,ok,52,7.094,
54,2026-09-19T03:01:36.820+00:00,1789786896.820222,1789786896.827290,ok,53,7.035,
55,2026-09-19T03:01:37.020+00:00,1789786897.020291,1789786897.027390,ok,54,7.071,
56,2026-09-19T03:01:37.220+00:00,1789786897.220359,1789786897.228950,ok,55,8.552,
