caso,intento,inicio_utc,inicio_epoch,fin_epoch,estado,latencia_ms,error
lee-sj,1,2026-09-20T23:53:50.185+00:00,1789948430.185703,1789948430.194432,ok,8.687,
lee-limon,1,2026-09-20T23:53:50.186+00:00,1789948430.186100,1789948430.194779,ok,8.508,
lee-moneda,1,2026-09-20T23:53:50.187+00:00,1789948430.187553,1789948430.198513,ok,10.920,
escribe-cruza,1,2026-09-20T23:53:50.191+00:00,1789948430.191465,1789948430.222049,ok,30.544,
escribe-sj,1,2026-09-20T23:53:50.188+00:00,1789948430.188176,1789948430.248843,ok,60.626,
escribe-limon,1,2026-09-20T23:53:50.189+00:00,1789948430.189332,1789948430.270622,ok,81.251,
lee-sj,2,2026-09-20T23:53:50.385+00:00,1789948430.385813,1789948430.387025,ok,1.178,
lee-limon,2,2026-09-20T23:53:50.386+00:00,1789948430.386182,1789948430.387682,ok,1.447,
lee-moneda,2,2026-09-20T23:53:50.387+00:00,1789948430.387720,1789948430.388635,ok,0.887,
escribe-sj,2,2026-09-20T23:53:50.388+00:00,1789948430.388240,1789948430.417877,ok,29.599,
escribe-limon,2,2026-09-20T23:53:50.389+00:00,1789948430.389403,1789948430.421518,ok,32.071,
escribe-cruza,2,2026-09-20T23:53:50.391+00:00,1789948430.391682,1789948430.452002,ok,60.277,
lee-sj,3,2026-09-20T23:53:50.585+00:00,1789948430.585900,1789948430.587124,ok,1.193,
lee-limon,3,2026-09-20T23:53:50.586+00:00,1789948430.586257,1789948430.587893,ok,1.608,
lee-moneda,3,2026-09-20T23:53:50.587+00:00,1789948430.587920,1789948430.588831,ok,0.879,
escribe-sj,3,2026-09-20T23:53:50.588+00:00,1789948430.588303,1789948430.614070,ok,25.728,
escribe-limon,3,2026-09-20T23:53:50.589+00:00,1789948430.589488,1789948430.619328,ok,29.800,
escribe-cruza,3,2026-09-20T23:53:50.591+00:00,1789948430.591940,1789948430.650135,ok,58.099,
lee-sj,4,2026-09-20T23:53:50.785+00:00,1789948430.785985,1789948430.788583,ok,2.561,
lee-limon,4,2026-09-20T23:53:50.786+00:00,1789948430.786329,1789948430.788939,ok,2.584,
lee-moneda,4,2026-09-20T23:53:50.787+00:00,1789948430.787983,1789948430.789493,ok,1.479,
escribe-sj,4,2026-09-20T23:53:50.788+00:00,1789948430.788372,1789948430.808926,ok,20.511,
escribe-limon,4,2026-09-20T23:53:50.789+00:00,1789948430.789613,1789948430.813565,ok,23.912,
escribe-cruza,4,2026-09-20T23:53:50.792+00:00,1789948430.792011,1789948430.844859,ok,52.809,
lee-sj,5,2026-09-20T23:53:50.986+00:00,1789948430.986057,1789948430.987312,ok,1.223,
lee-limon,5,2026-09-20T23:53:50.986+00:00,1789948430.986363,1789948430.987808,ok,1.415,
lee-moneda,5,2026-09-20T23:53:50.988+00:00,1789948430.988047,1789948430.989341,ok,1.249,
escribe-sj,5,2026-09-20T23:53:50.988+00:00,1789948430.988436,1789948431.011371,ok,22.873,
escribe-limon,5,2026-09-20T23:53:50.989+00:00,1789948430.989678,1789948431.016342,ok,26.627,
escribe-cruza,5,2026-09-20T23:53:50.992+00:00,1789948430.992088,1789948431.047079,ok,54.947,
lee-sj,6,2026-09-20T23:53:51.186+00:00,1789948431.186170,1789948431.187874,ok,1.670,
lee-limon,6,2026-09-20T23:53:51.186+00:00,1789948431.186455,1789948431.189269,ok,2.758,
lee-moneda,6,2026-09-20T23:53:51.188+00:00,1789948431.188111,1789948431.190766,ok,2.619,
escribe-sj,6,2026-09-20T23:53:51.188+00:00,1789948431.188503,1789948431.218001,ok,29.406,
escribe-limon,6,2026-09-20T23:53:51.189+00:00,1789948431.189713,1789948431.227541,ok,37.740,
escribe-cruza,6,2026-09-20T23:53:51.192+00:00,1789948431.192155,1789948431.260042,ok,67.827,
lee-sj,7,2026-09-20T23:53:51.386+00:00,1789948431.386212,1789948431.387330,ok,1.081,
lee-limon,7,2026-09-20T23:53:51.386+00:00,1789948431.386521,1789948431.388077,ok,1.532,
lee-moneda,7,2026-09-20T23:53:51.388+00:00,1789948431.388174,1789948431.389132,ok,0.930,
escribe-sj,7,2026-09-20T23:53:51.388+00:00,1789948431.388580,1789948431.412025,ok,23.401,
escribe-limon,7,2026-09-20T23:53:51.389+00:00,1789948431.389776,1789948431.417204,ok,27.377,
escribe-cruza,7,2026-09-20T23:53:51.392+00:00,1789948431.392229,1789948431.447544,ok,55.271,
lee-sj,8,2026-09-20T23:53:51.586+00:00,1789948431.586283,1789948431.587463,ok,1.153,
lee-limon,8,2026-09-20T23:53:51.586+00:00,1789948431.586581,1789948431.588447,ok,1.838,
lee-moneda,8,2026-09-20T23:53:51.588+00:00,1789948431.588251,1789948431.589264,ok,0.983,
escribe-sj,8,2026-09-20T23:53:51.588+00:00,1789948431.588645,1789948431.610115,ok,21.424,
escribe-limon,8,2026-09-20T23:53:51.589+00:00,1789948431.589840,1789948431.617422,ok,27.545,
escribe-cruza,8,2026-09-20T23:53:51.592+00:00,1789948431.592302,1789948431.656169,ok,63.817,
lee-sj,9,2026-09-20T23:53:51.786+00:00,1789948431.786367,1789948431.787404,ok,1.003,
lee-limon,9,2026-09-20T23:53:51.786+00:00,1789948431.786647,1789948431.788126,ok,1.451,
lee-moneda,9,2026-09-20T23:53:51.788+00:00,1789948431.788316,1789948431.789285,ok,0.936,
escribe-sj,9,2026-09-20T23:53:51.788+00:00,1789948431.788683,1789948431.812112,ok,23.324,
escribe-limon,9,2026-09-20T23:53:51.789+00:00,1789948431.789904,1789948431.819191,ok,29.239,
escribe-cruza,9,2026-09-20T23:53:51.792+00:00,1789948431.792358,1789948431.848413,ok,56.015,
lee-sj,10,2026-09-20T23:53:51.986+00:00,1789948431.986436,1789948431.987870,ok,1.340,
