ronda,orden,caso,operacion,localidad,motor,regiones_hogar,inicio_utc,latencia_ms,reintentos
1,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.225+00:00,1.448,0
1,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.227+00:00,1.625,0
1,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.228+00:00,0.172,0
1,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.228+00:00,0.159,0
2,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.229+00:00,1.578,0
2,2,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.230+00:00,0.221,0
2,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.230+00:00,1.532,0
2,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.232+00:00,0.219,0
3,1,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.232+00:00,1.426,0
3,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.234+00:00,0.170,0
3,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.234+00:00,1.546,0
3,4,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.235+00:00,0.191,0
4,1,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.236+00:00,1.358,0
4,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.237+00:00,0.198,0
4,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.237+00:00,0.186,0
4,4,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.237+00:00,1.803,0
5,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.239+00:00,0.205,0
5,2,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.239+00:00,1.723,0
5,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.241+00:00,1.593,0
5,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.243+00:00,0.237,0
6,1,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.243+00:00,1.643,0
6,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.245+00:00,0.184,0
6,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.245+00:00,1.449,0
6,4,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.246+00:00,0.176,0
7,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.247+00:00,0.161,0
7,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.247+00:00,0.392,0
7,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.247+00:00,1.563,0
7,4,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.249+00:00,1.484,0
8,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.250+00:00,0.182,0
8,2,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.250+00:00,1.519,0
8,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.252+00:00,1.388,0
8,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.253+00:00,0.167,0
9,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.253+00:00,0.159,0
9,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.254+00:00,0.156,0
9,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.254+00:00,1.530,0
9,4,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.255+00:00,1.674,0
10,1,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.257+00:00,1.507,0
10,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.259+00:00,0.173,0
10,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.259+00:00,1.538,0
10,4,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.260+00:00,0.181,0
11,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.261+00:00,1.351,0
11,2,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.262+00:00,0.170,0
11,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.262+00:00,1.574,0
11,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.264+00:00,0.225,0
12,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.264+00:00,0.201,0
12,2,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.264+00:00,1.381,0
12,3,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.265+00:00,0.193,0
12,4,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.266+00:00,1.400,0
13,1,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.267+00:00,0.193,0
13,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.267+00:00,1.635,0
13,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.269+00:00,0.174,0
13,4,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.269+00:00,1.426,0
14,1,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.271+00:00,1.590,0
14,2,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.272+00:00,0.217,0
14,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.272+00:00,1.387,0
14,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.274+00:00,0.172,0
15,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.274+00:00,0.162,0
15,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.274+00:00,1.304,0
15,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.275+00:00,1.512,0
15,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.277+00:00,0.171,0
16,1,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.277+00:00,1.364,0
16,2,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.279+00:00,0.224,0
16,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.279+00:00,1.425,0
16,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.280+00:00,0.236,0
17,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.281+00:00,0.196,0
17,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.281+00:00,1.517,0
17,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.282+00:00,1.548,0
17,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.284+00:00,0.182,0
18,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.284+00:00,1.504,0
18,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.286+00:00,1.377,0
18,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.287+00:00,0.172,0
18,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.287+00:00,0.164,0
19,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.287+00:00,1.441,0
19,2,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.289+00:00,0.199,0
