ronda,orden,caso,operacion,localidad,gateway_region,regiones_hogar,inicio_utc,latencia_ms,reintentos
1,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.797+00:00,3.603,0
1,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.801+00:00,2.630,0
1,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.803+00:00,0.242,0
1,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.804+00:00,0.210,0
2,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.804+00:00,2.522,0
2,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.806+00:00,0.183,0
2,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.807+00:00,2.541,0
2,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.809+00:00,0.238,0
3,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.809+00:00,2.432,0
3,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.812+00:00,0.177,0
3,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.812+00:00,2.533,0
3,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.815+00:00,0.230,0
4,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.815+00:00,2.596,0
4,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.817+00:00,0.222,0
4,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.818+00:00,0.206,0
4,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.818+00:00,2.503,0
5,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.820+00:00,0.223,0
5,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.821+00:00,2.530,0
5,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.823+00:00,2.491,0
5,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.826+00:00,0.174,0
6,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.826+00:00,2.534,0
6,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.829+00:00,0.202,0
6,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.829+00:00,2.373,0
6,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.831+00:00,0.223,0
7,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.831+00:00,0.201,0
7,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.832+00:00,0.203,0
7,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.832+00:00,2.413,0
7,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.834+00:00,2.533,0
8,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.837+00:00,0.183,0
8,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.837+00:00,2.495,0
8,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.840+00:00,2.500,0
8,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.842+00:00,0.217,0
9,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.842+00:00,0.202,0
9,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.843+00:00,0.200,0
9,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.843+00:00,2.406,0
9,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.845+00:00,2.490,0
10,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.848+00:00,2.524,0
10,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.850+00:00,0.219,0
10,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.850+00:00,2.547,0
10,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.853+00:00,0.219,0
11,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.853+00:00,2.471,0
11,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.856+00:00,0.225,0
11,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.856+00:00,2.506,0
11,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.859+00:00,0.219,0
12,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.859+00:00,0.204,0
12,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.859+00:00,2.440,0
12,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.862+00:00,0.211,0
12,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.862+00:00,2.512,0
13,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T03:16:10.864+00:00,0.216,0
13,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T03:16:10.865+00:00,2.477,0
13,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T03:16:10.867+00:00,0.232,0
13,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T03:16:10.867+00:00,2.499,0
