ronda,orden,caso,operacion,localidad,gateway_region,regiones_hogar,inicio_utc,latencia_ms,reintentos
1,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.231+00:00,28.117,0
1,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.259+00:00,13.629,0
1,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.272+00:00,4.667,0
1,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.277+00:00,0.864,0
2,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.278+00:00,12.521,0
2,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.291+00:00,0.607,0
2,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.291+00:00,24.530,0
2,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.316+00:00,1.100,0
3,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.317+00:00,14.210,0
3,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.331+00:00,0.921,0
3,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.332+00:00,16.140,0
3,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.348+00:00,0.593,0
4,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.349+00:00,14.791,0
4,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.364+00:00,1.044,0
4,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.365+00:00,4.951,0
4,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.370+00:00,16.373,0
5,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.386+00:00,0.603,0
5,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.387+00:00,28.852,0
5,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.416+00:00,13.514,0
5,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.429+00:00,1.535,0
6,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.431+00:00,16.501,0
6,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.447+00:00,0.987,0
6,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.448+00:00,15.092,0
6,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.463+00:00,0.731,0
7,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.464+00:00,0.467,0
7,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.465+00:00,4.931,0
7,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.470+00:00,24.384,0
7,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.494+00:00,15.851,0
8,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.510+00:00,5.740,0
8,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.516+00:00,13.245,0
8,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.529+00:00,27.038,0
8,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.556+00:00,0.858,0
9,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.557+00:00,3.484,0
9,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.560+00:00,0.814,0
9,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.561+00:00,12.467,0
9,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.574+00:00,19.007,0
10,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.593+00:00,14.720,0
10,2,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.607+00:00,1.004,0
10,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.608+00:00,14.965,0
10,4,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.623+00:00,0.509,0
11,1,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.624+00:00,27.602,0
11,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.652+00:00,0.579,0
11,3,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.652+00:00,13.585,0
11,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.666+00:00,1.573,0
12,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.667+00:00,3.394,0
12,2,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.671+00:00,12.844,0
12,3,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.684+00:00,6.011,0
12,4,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.690+00:00,19.027,0
13,1,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.709+00:00,0.931,0
13,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.710+00:00,16.853,0
13,3,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.727+00:00,4.643,0
13,4,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.731+00:00,13.472,0
14,1,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.745+00:00,17.204,0
14,2,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.762+00:00,5.266,0
14,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.767+00:00,14.248,0
14,4,lectura-remota,lectura,remota,cr-sj,cr-limon,2026-09-17T06:38:41.782+00:00,5.330,0
15,1,lectura-local,lectura,local,cr-sj,cr-sj,2026-09-17T06:38:41.787+00:00,0.458,0
15,2,escritura-local,escritura,local,cr-sj,cr-sj,2026-09-17T06:38:41.787+00:00,20.014,0
15,3,escritura-cruza,escritura,cruza,cr-sj,cr-sj+cr-limon,2026-09-17T06:38:41.807+00:00,18.293,0
