iteracion,operacion,latencia_ms
1,lectura,0.65284199990856
1,escritura,1.9881160005752463
2,lectura,0.20717300139949657
2,escritura,0.7090140006766887
3,lectura,0.17242200010514352
3,escritura,0.5376530007197289
4,lectura,0.6291469999268884
4,escritura,0.8999949986900901
5,lectura,0.4704550010501407
5,escritura,0.6404400010069367
6,lectura,0.3976419993705349
6,escritura,0.6490310006483924
7,lectura,0.32978799936245196
7,escritura,0.5344219989638077
8,lectura,0.32848100090632215
8,escritura,0.6264620005822508
9,lectura,0.5651459996443009
9,escritura,1.0508650011615828
10,lectura,0.5919550003454788
10,escritura,0.7373860007646726
11,lectura,0.5116660013300134
11,escritura,0.6914089990459615
12,lectura,0.10959999963233713
12,escritura,0.3677419990708586
13,lectura,0.07418600034725387
13,escritura,0.3349960006744368
14,lectura,0.0559090003662277
14,escritura,0.3237309992982773
15,lectura,0.0764640008128481
15,escritura,0.31299700094677974
16,lectura,0.05547900036617648
16,escritura,0.3147750012431061
17,lectura,0.05682300070475321
17,escritura,0.3383370003575692
18,lectura,0.08006200005183928
18,escritura,0.4837200012843823
19,lectura,0.2636399985931348
19,escritura,0.6046689995855559
20,lectura,0.07612700028403196
20,escritura,0.3244740000809543
21,lectura,0.04997999894840177
21,escritura,0.30014199910510797
22,lectura,0.05336499998520594
22,escritura,0.3315620015200693
23,lectura,0.0514940002176445
23,escritura,0.32396700044046156
24,lectura,0.06530499922519084
24,escritura,0.3166839996993076
25,lectura,0.08130599962896667
25,escritura,0.30945999969844706
26,lectura,0.05314900045050308
26,escritura,0.30751700069231447
27,lectura,0.054243000704445876
27,escritura,0.31214000046020374
28,lectura,0.057268000091426075
28,escritura,0.3113370003120508
29,lectura,0.05638699985865969
29,escritura,0.4926490000798367
30,lectura,0.05810599941469263
30,escritura,0.33839900061138906
31,lectura,0.07786499918438494
31,escritura,0.34966199928021524
32,lectura,0.07253100011439528
32,escritura,0.4252460003044689
33,lectura,0.061267999626579694
33,escritura,0.3200090013706358
34,lectura,0.06024100002832711
34,escritura,0.3378469991730526
35,lectura,0.0644430001557339
35,escritura,0.3232770013710251
36,lectura,0.061916998674860224
36,escritura,0.33104199974332005
37,lectura,0.07580200144730043
37,escritura,0.3485710003587883
38,lectura,0.0801920014055213
38,escritura,0.375122999685118
39,lectura,0.07248699876072351
39,escritura,0.3279529992141761
40,lectura,0.06284899973252323
40,escritura,0.32566300069447607
41,lectura,0.0621939998382004
41,escritura,0.3278300009696977
42,lectura,0.06677499914076179
42,escritura,0.3336509998916881
43,lectura,0.07658299909962807
43,escritura,1.3541120006266283
44,lectura,0.49382500037609134
44,escritura,0.9281700004066806
45,lectura,0.32918800025072414
45,escritura,0.5985879997751908
46,lectura,0.2571620007074671
46,escritura,0.6491549993370427
47,lectura,0.21406299856607802
47,escritura,0.5683540002792142
48,lectura,0.21920400104136206
48,escritura,0.5845460000273306
49,lectura,0.21508899953914806
49,escritura,0.6064819990569958
50,lectura,0.23865000002842862
50,escritura,0.6053249999240506
